timestamp,ghi_forecast,dni_forecast,dhi_forecast,temp_c,cloud_cover,production_mwh
2026-09-23 00:00:00,0.0,0.0,0.0,19.0,0.05,0.0
2026-09-23 01:00:00,0.0,0.0,0.0,18.4,0.06,0.0
2026-09-23 02:00:00,0.0,0.0,0.0,17.7,0.03,0.0
2026-09-23 03:00:00,0.0,0.0,0.0,16.5,0.01,0.0
2026-09-23 04:00:00,0.0,0.0,0.0,15.8,0.0,0.0
2026-09-23 05:00:00,0.0,0.0,0.0,15.0,0.0,0.0
2026-09-23 06:00:00,0.0,0.0,0.0,14.5,0.0,0.0
2026-09-23 07:00:00,6.0,34.4,4.0,14.6,0.0,49.0
2026-09-23 08:00:00,128.0,459.3,47.0,16.9,0.01,166.46
2026-09-23 09:00:00,326.0,674.9,77.0,19.8,0.02,199.7
2026-09-23 10:00:00,509.0,766.4,98.0,21.7,0.01,199.99
2026-09-23 11:00:00,664.0,833.5,108.0,23.6,0.02,175.6
2026-09-23 12:00:00,769.0,870.8,114.0,25.2,0.07,112.37
2026-09-23 13:00:00,810.0,877.9,120.0,27.1,0.55,89.77
2026-09-23 14:00:00,677.0,608.3,211.0,26.6,0.39,70.78
2026-09-23 15:00:00,599.0,625.5,165.0,26.6,0.39,83.03
2026-09-23 16:00:00,490.0,613.1,138.0,26.1,0.38,85.57
2026-09-23 17:00:00,205.0,178.3,131.0,26.0,1.0,72.06
2026-09-23 18:00:00,104.0,162.5,67.0,25.2,0.61,3.3
2026-09-23 19:00:00,16.0,71.0,10.0,22.3,0.54,0.0
2026-09-23 20:00:00,0.0,0.0,0.0,16.4,0.45,0.0
2026-09-23 21:00:00,0.0,0.0,0.0,17.3,0.35,0.0
2026-09-23 22:00:00,0.0,0.0,0.0,16.2,0.4,0.0
2026-09-23 23:00:00,0.0,0.0,0.0,15.4,0.27,0.0
